('1', 2, 3163.3833333333337, 47, 67.30602836879433)
('10', 3, 3076.9500000000007, 45, 68.37666666666668)
('11', 3, 2978.3833333333337, 44, 67.69053030303031)
('12', 1, 3232.4833333333336, 47, 68.77624113475177)
('13', 2, 3158.6738095238097, 47, 67.20582573454914)
('14', 2, 3139.7666666666664, 46, 68.25579710144928)
('15', 1, 3113.764285714286, 46, 67.69052795031057)
('16', 4, 3155.516666666667, 47, 67.1386524822695)
('17', 2, 3066.916666666667, 46, 66.67210144927537)
('18', 1, 3072.3380952380953, 46, 66.7899585921325)
('19', 2, 3244.842857142857, 47, 69.03920972644377)
('2', 3, 2952.307142857143, 43, 68.65830564784054)
('20', 3, 3169.6916666666675, 47, 67.44024822695037)
('3', 4, 3133.5499999999997, 47, 66.67127659574467)
('4', 3, 2946.4499999999994, 43, 68.5220930232558)
('5', 4, 3097.016666666667, 46, 67.32644927536232)
('6', 1, 3133.7190476190467, 46, 68.12432712215319)
('7', 2, 2945.52380952381, 43, 68.50055370985605)
('8', 2, 2979.1119047619045, 44, 67.70708874458875)
('9', 1, 2844.7714285714283, 43, 66.15747508305647)
[66.7899585921325, 66.67210144927537, 66.15747508305647, 66.67127659574467]
['18', '17', '9', '3']
Building 18	70.0	09:00:01
Building 18	69.8	09:13:19
Building 18	62.0	09:13:20
Building 18	64.3333333333	09:33:07
Building 18	70.6	09:43:51
Building 18	67.5	09:45:56
Building 18	80.0	10:00:01
Building 18	64.6	10:13:19
Building 18	80.0	10:13:20
Building 18	69.25	10:33:07
Building 18	68.4	10:43:51
Building 18	64.5	10:45:56
Building 18	64.6666666667	11:00:01
Building 18	70.25	11:13:19
Building 18	73.0	11:13:20
Building 18	70.0	11:33:07
Building 18	74.3333333333	11:43:51
Building 18	61.5	11:45:56
Building 18	63.0	12:00:01
Building 18	65.6	12:13:19
Building 18	68.8	12:13:20
Building 18	56.0	12:33:07
Building 18	67.5	12:43:51
Building 18	75.0	12:45:56
Building 18	65.0	13:00:01
Building 18	64.75	13:13:19
Building 18	61.0	13:13:20
Building 18	72.5	13:33:07
Building 18	61.6666666667	13:43:51
Building 18	57.0	13:45:56
Building 18	61.0	14:13:19
Building 18	68.0	14:13:20
Building 18	74.5	14:33:07
Building 18	60.1428571429	14:43:51
Building 18	64.5	14:45:56
Building 18	66.4285714286	15:00:01
Building 18	56.5	15:13:19
Building 18	61.0	15:13:20
Building 18	70.25	15:33:07
Building 18	78.0	15:43:51
Building 18	67.2	15:45:56
Building 18	64.6	16:13:19
Building 18	67.0	16:13:20
Building 18	66.1666666667	16:33:07
Building 18	66.5	16:43:51
Building 18	58.0	16:45:56
Building 17	74.0	09:00:01
Building 17	64.0	09:13:19
Building 17	66.0	09:13:20
Building 17	61.5	09:33:07
Building 17	70.0	09:43:51
Building 17	66.0	09:45:56
Building 17	67.6666666667	10:00:01
Building 17	65.8333333333	10:13:19
Building 17	67.6666666667	10:13:20
Building 17	62.6	10:33:07
Building 17	63.0	10:43:51
Building 17	66.5	10:45:56
Building 17	64.0	11:00:01
Building 17	72.75	11:13:19
Building 17	71.6	11:13:20
Building 17	56.0	11:33:07
Building 17	62.3333333333	11:43:51
Building 17	76.0	11:45:56
Building 17	67.6666666667	12:00:01
Building 17	70.0	12:13:19
Building 17	71.0	12:13:20
Building 17	66.5	12:33:07
Building 17	66.5	12:43:51
Building 17	59.5	12:45:56
Building 17	67.8333333333	13:00:01
Building 17	72.3333333333	13:13:19
Building 17	70.6666666667	13:13:20
Building 17	67.0	13:33:07
Building 17	72.0	13:43:51
Building 17	61.6666666667	14:00:01
Building 17	68.8	14:13:19
Building 17	58.5	14:13:20
Building 17	64.3333333333	14:33:07
Building 17	63.6666666667	14:43:51
Building 17	65.0	14:45:56
Building 17	63.3333333333	15:00:01
Building 17	65.5	15:13:19
Building 17	67.75	15:13:20
Building 17	72.75	15:33:07
Building 17	62.5	15:43:51
Building 17	62.6666666667	16:00:01
Building 17	75.0	16:13:19
Building 17	66.5	16:13:20
Building 17	67.5	16:33:07
Building 17	69.0	16:43:51
Building 17	64.0	16:45:56
Building 9	63.3333333333	09:13:19
Building 9	69.25	09:13:20
Building 9	59.5	09:33:07
Building 9	60.75	09:43:51
Building 9	68.6	09:45:56
Building 9	65.5	10:00:01
Building 9	69.5	10:13:19
Building 9	63.6	10:13:20
Building 9	66.0	10:43:51
Building 9	59.0	10:45:56
Building 9	65.6666666667	11:00:01
Building 9	66.5714285714	11:13:19
Building 9	63.0	11:33:07
Building 9	63.0	11:45:56
Building 9	73.8	12:00:01
Building 9	79.0	12:13:19
Building 9	67.5	12:13:20
Building 9	65.6666666667	12:33:07
Building 9	64.0	12:43:51
Building 9	73.5	12:45:56
Building 9	72.3333333333	13:00:01
Building 9	72.2	13:13:19
Building 9	69.5	13:13:20
Building 9	64.0	13:33:07
Building 9	57.0	13:43:51
Building 9	62.0	13:45:56
Building 9	64.5	14:00:01
Building 9	69.5	14:13:19
Building 9	59.0	14:13:20
Building 9	68.5	14:33:07
Building 9	58.6666666667	14:45:56
Building 9	68.5	15:00:01
Building 9	76.75	15:13:19
Building 9	65.3333333333	15:13:20
Building 9	58.5	15:33:07
Building 9	77.0	15:43:51
Building 9	62.6666666667	15:45:56
Building 9	65.5	16:00:01
Building 9	63.6666666667	16:13:19
Building 9	68.5	16:13:20
Building 9	67.6666666667	16:33:07
Building 9	68.75	16:43:51
Building 9	58.0	16:45:56
Building 3	68.75	09:00:01
Building 3	67.2	09:13:19
Building 3	72.25	09:13:20
Building 3	58.6666666667	09:33:07
Building 3	64.0	09:43:51
Building 3	65.0	09:45:56
Building 3	74.5	10:00:01
Building 3	69.0	10:13:19
Building 3	64.6666666667	10:13:20
Building 3	67.0	10:33:07
Building 3	56.0	10:43:51
Building 3	74.0	10:45:56
Building 3	71.3333333333	11:00:01
Building 3	61.6666666667	11:13:19
Building 3	68.3333333333	11:13:20
Building 3	63.6666666667	11:33:07
Building 3	70.5	11:43:51
Building 3	70.0	11:45:56
Building 3	68.0	12:00:01
Building 3	66.6666666667	12:13:19
Building 3	70.0	12:13:20
Building 3	58.0	12:33:07
Building 3	65.5	12:43:51
Building 3	65.5	12:45:56
Building 3	65.0	13:00:01
Building 3	65.0	13:13:19
Building 3	60.5	13:13:20
Building 3	59.0	13:33:07
Building 3	62.5	13:43:51
Building 3	69.0	13:45:56
Building 3	79.0	14:00:01
Building 3	62.0	14:13:19
Building 3	69.8333333333	14:13:20
Building 3	71.0	14:33:07
Building 3	63.75	14:43:51
Building 3	62.0	14:45:56
Building 3	60.6666666667	15:00:01
Building 3	73.25	15:13:19
Building 3	74.0	15:13:20
Building 3	66.6666666667	15:33:07
Building 3	69.6	15:43:51
Building 3	62.0	15:45:56
Building 3	65.5	16:00:01
Building 3	67.3333333333	16:13:19
Building 3	72.0	16:13:20
Building 3	69.0	16:43:51
Building 3	64.75	16:45:56
